Symbol,Company Name,Security Type,IPO Year,IPO Start Date,IPO End Date,Listing Date,Issue Price (₹),Price Band Low (₹),Price Band High (₹),Face Value (₹),Lot Size (shares),Issue Size,Issue Type,Registrar,QIB Subscription (x),NII Subscription (x),RII Subscription (x),Employee Subscription (x),Total Subscription (x),QIB Shares Offered,NII Shares Offered,RII Shares Offered,Total Shares Offered,QIB Shares Bid For,NII Shares Bid For,RII Shares Bid For,Total Shares Bid For,Listing Day Close (₹),Listing Week Close (₹),Listing Day Gain (%),Listing Week Gain (%)
ARTNIRMAN,Art Nirman Limited,SME,2016,30-SEP-2016,07-OCT-2016,18-OCT-2021,30.0,25.0,25.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,31.149999618530273,36.0,3.833332061767578,20.0
SAKAR,Sakar Healthcare Limited,SME,2016,30-SEP-2016,05-OCT-2016,11-APR-2019,56.0,42.0,50.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,27000.0,2847000.0,1044000.0,4908000.0,60.599998474121094,69.80000305175781,8.214282989501953,24.642862592424667
GRETEX,Gretex Industries Limited,SME,2016,30-SEP-2016,05-OCT-2016,14-OCT-2016,20.0,19.0,21.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1638000.0,1230000.0,2652000.0,,,,
AURDIS,Aurangabad Distillery Limited,SME,2016,30-SEP-2016,06-OCT-2016,17-OCT-2016,35.0,35.0,35.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
ENDURANCE,Endurance Technologies Limited,EQ,2016,05-OCT-2016,07-OCT-2016,19-OCT-2016,472.0,467.0,472.0,10.0,,"Public offer of 24,613,024  Equity Shares (including anchor portion of 73,83,906 Equity Shares) ",100% Book Building,Link Intime India Private Limited,26.7614769009498,45.469865009152336,0.7802175363823035,,17.77978768268927,4922605.0,3691954.0,8614559.0,17229118.0,131736180.0,167872650.0,108046110.0,306330060.0,623.6983032226562,603.9335327148438,32.1394710217492,27.952019642975372
759PHFL31,PNB Housing Finance Limited,N0,2016,25-OCT-2016,27-OCT-2016,05-MAR-2026,,750.0,775.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
VBL,Varun Beverages Limited,EQ,2016,26-OCT-2016,28-OCT-2016,08-NOV-2016,445.0,440.0,445.0,10.0,,"Public offer of upto 25,000,000  Equity Shares (including anchor portion of 73,50,000 Equity Shares)",100% Book Building,Karvy Computershare Private Limited,2.8461287755102043,0.205174693877551,0.2319967346938775,0.000726,0.9455967705382436,4900000.0,3675000.0,8575000.0,17650000.0,13946031.0,754017.0,700557.0,16689783.0,26.483917236328125,25.250497817993164,-94.04855792442065,-94.32573082741726
AGROPHOS,Agro Phos India limited,SME,2016,27-OCT-2016,07-NOV-2016,08-MAR-2019,57.0,19.0,22.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1956000.0,44346000.0,30588000.0,102786000.0,54.89020919799805,54.89020919799805,-3.7013873719332513,-3.7013873719332513
GSBPL,GreenSignal Bio Pharma Limited,EQ,2016,09-NOV-2016,22-NOV-2016,,,68.0,76.0,10.0,,"Initial Public Offer upto 1,45,79,560 Equity Shares ",100% Book Building,Bigshare Services Pvt Ltd,0.2057812444271295,0.035289130810532,2.756033103879678,,0.4352326133298947,10934670.0,2186934.0,1457956.0,14579560.0,2250150.0,77175.0,74550.0,6345500.0,,,,
JETFREIGHT,Jet Freight Logistics Limited,SME,2016,24-NOV-2016,28-NOV-2016,21-DEC-2021,48.0,28.0,28.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4692000.0,3540000.0,7316000.0,20.72483253479004,21.048656463623047,-56.82326555252075,-56.14863236745199
SFL,Sheela Foam Limited,EQ,2016,29-NOV-2016,01-DEC-2016,09-DEC-2016,730.0,680.0,730.0,5.0,,"Public offer of Equity Shares aggregating upto Rs. 5100 million (including anchor portion of 2,095,889 Equity Shares)",100% Book Building,Link Intime India Private Limited,7.73600817599455,1.458488888888889,0.1103390476190476,,2.577991889906307,1500001.0,1125000.0,2625000.0,5250001.0,11604020.0,1640800.0,1473820.0,13534460.0,503.5249938964844,479.67498779296875,-31.023973438837753,-34.29109756260702
LAURUSLABS,Laurus Labs Limited,EQ,2016,06-DEC-2016,08-DEC-2016,19-DEC-2016,428.0,426.0,428.0,10.0,,"Initial Public offer of [.] Equity Shares aggregating upto Rs 3,000 million and an offer of share upto 24,107,440 Equity Shares (including anchor portion of 9,238,385 Equity Shares)",100% Book Building,Karvy Computershare Private Limited,8.11755572557261,1.3438186855668153,0.4813069286631419,0.8174095369849985,2.820160713363164,6174544.0,4623879.0,10789051.0,21911308.0,50122205.0,6213655.0,3605140.0,61793410.0,92.68190002441406,91.7654800415039,-78.3453504615855,-78.55946728002246
RHFL,Reliance Home Finance Limited,BE,2016,22-DEC-2016,23-DEC-2016,22-SEP-2017,10.0,1000.0,1000.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,105.62236785888672,96.45923614501953,956.2236785888672,864.5923614501953
PROLIFE,Prolife Industries Limited,SME,2016,27-DEC-2016,30-DEC-2016,09-JAN-2017,38.0,38.0,38.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2634000.0,2286000.0,4848000.0,,,,
LIBAS,Libas Designs Limited,SME,2016,27-DEC-2016,30-DEC-2016,23-JUL-2019,48.95,68.0,68.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1572000.0,1092000.0,4410000.0,29.39705467224121,29.39705467224121,-39.944729985206926,-39.944729985206926
MAHESHWARI,Maheshwari Logistics Limited,SME,2016,30-DEC-2016,06-JAN-2017,16-JAN-2017,68.0,68.0,68.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,326000.0,8882000.0,5690000.0,18120000.0,,,,
SREIBNPNCD,Srei Equipment Finance Limited,NX,2017,03-JAN-2017,06-JAN-2017,27-FEB-2020,1000.0,1000.0,1000.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
BSE,BSE Limited,EQ,2017,23-JAN-2017,25-JAN-2017,03-FEB-2017,806.0,805.0,806.0,2.0,,"Public Offer of 15,427,197 Equity Shares (including anchor portion of 4,628,158 Equity Shares)",100% Book Building,Karvy Computershare Private Limited,25.785602053515863,82.47794026135657,1.9946676731760733,,26.038495277218647,3085440.0,2314080.0,5399519.0,10799039.0,79559928.0,190860552.0,142538598.0,281190726.0,95.53353118896484,90.24844360351562,-88.14720456712595,-88.80292262983677
MCL,Madhav Copper Limited,SME,2017,23-JAN-2017,27-JAN-2017,19-AUG-2020,70.0,81.0,81.0,10.0,,Public issue of 5433016 Equity Shares.,100% Book Building,Link Intime India Private Limited,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,94400.0,1614400.0,1388800.0,5688000.0,77.9000015258789,77.05000305175781,11.285716465541293,10.07143293108259
SREINFRA,Srei Infrastructure Finance Limited,YC,2017,30-JAN-2017,16-FEB-2017,21-MAR-2018,1000.0,1000.0,1000.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
STEELCITY,Steel City Securities Limited,SME,2017,06-FEB-2017,09-FEB-2017,27-JUN-2019,56.2,55.0,55.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,498000.0,7728000.0,6556000.0,23928000.0,44.738216400146484,44.738216400146484,-20.39463273995288,-20.39463273995288
KRISHANA,Krishana Phoschem Limited,SME,2017,13-FEB-2017,16-FEB-2017,22-AUG-2019,50.5,30.0,30.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1160000.0,39508000.0,27064000.0,218932000.0,25.355791091918945,24.357149124145508,-49.79051268926942,-51.76802153634553
GLOBAL,Global Education limited,SME,2017,16-FEB-2017,21-FEB-2017,07-DEC-2020,196.0,140.0,150.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,8.752930641174316,10.629182815551758,-95.53421906062535,-94.57694754308584
NITIRAJ,Nitiraj Engineers Limited,SME,2017,20-FEB-2017,01-MAR-2017,22-APR-2021,45.45,100.0,100.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1756800.0,1573200.0,2988000.0,42.639259338378906,41.40548324584961,-6.184247880354447,-8.898826741805046
AKASH,Akash Infra Projects Limited,SME,2017,28-FEB-2017,06-MAR-2017,11-OCT-2019,58.0,125.0,125.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1966000.0,1364000.0,3779000.0,60.317588806152344,57.82512664794922,3.995842769228179,-0.3015057793978987
SANGINITA,Sanginita Chemicals Limited,SME,2017,01-MAR-2017,03-MAR-2017,15-JUL-2019,81.3,22.0,22.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,72.69761657714844,72.69761657714844,-10.581037420481623,-10.581037420481623
RADIOCITY,Music Broadcast Limited,P1,2017,06-MAR-2017,08-MAR-2017,20-APR-2023,100.0,324.0,333.0,10.0,,"Initial Public offer of Fresh issue of Upto 4,000 Million and offer for sale Upto 2,658,518 Equity Shares (including anchor portion of 4,401,158 Equity Shares)",100% Book Building,Karvy Computershare Private Limited,30.43814300605804,40.76514575918743,3.363841622220373,,19.089985062186187,2978685.0,2250630.0,5251469.0,10480784.0,90665640.0,91747260.0,77729895.0,200078010.0,11.25,11.050000190734863,-88.75,-88.94999980926514
DMART,Avenue Supermarts Limited,EQ,2017,08-MAR-2017,10-MAR-2017,21-MAR-2017,299.0,295.0,299.0,10.0,,"Initial Public offer of [.] Equity Shares aggregating Upto Rs 18,700 million (including anchor portion of 18,762,541 Equity Shares)",100% Book Building,Link Intime India Private Limited,105.54376388136708,81.06086412384741,2.4868116522158736,,48.768951946821936,12677966.0,9508475.0,22186441.0,44372882.0,1338080250.0,770765200.0,472447950.0,2164018950.0,641.5999755859375,614.4000244140625,114.5819316340928,105.48495799801421
AIRAN,Airan Limited,SME,2017,14-MAR-2017,16-MAR-2017,03-MAY-2019,38.0,45.0,45.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,582000.0,33846000.0,19887000.0,92889000.0,42.5,42.5,11.842105263157894,11.842105263157894
LAXMICOT,Laxmi Cotspin Limited,SME,2017,17-MAR-2017,22-MAR-2017,12-NOV-2021,23.0,20.0,20.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6732000.0,5610000.0,28764000.0,26.350000381469727,23.100000381469727,14.565219049868377,0.4347842672596807
